task,arch,seed_mean_tok_acc,seed_std,n_seeds,seed1,seed2,seed3,seed4,seed5
quad_recall,stu,0.15347,0.00659,5,0.15796,0.14868,0.14307,0.15674,0.16089
reverse_copy,attn,0.99983,0.00018,5,0.99986,0.99997,0.99986,1.0,0.99948
reverse_copy,mamba,0.12365,0.00568,5,0.1217,0.1291,0.11356,0.12835,0.12554
reverse_copy,mamba2,0.43764,0.07794,5,0.39011,0.43771,0.35184,0.42722,0.58132
reverse_copy,alt_attn_mamba,0.99998,2e-05,5,1.0,1.0,0.99997,0.99998,0.99997
reverse_copy,alt_attn_stu,0.99988,7e-05,5,0.99993,0.9999,0.99995,0.9998,0.99979
reverse_copy,headwise,0.19017,0.07627,5,0.27452,0.12182,0.14367,0.11975,0.29107
reverse_copy,stu,0.01707,0.00022,5,0.01703,0.01739,0.01715,0.01672,0.01708
running_max,attn,1.0,0.0,5,1.0,1.0,1.0,1.0,1.0
running_max,mamba,1.0,0.0,5,1.0,1.0,1.0,1.0,1.0
running_max,mamba2,0.9998,0.00039,5,1.0,1.0,0.99902,1.0,1.0
running_max,alt_attn_mamba,1.0,0.0,5,1.0,1.0,1.0,1.0,1.0
running_max,alt_attn_stu,1.0,0.0,5,1.0,1.0,1.0,1.0,1.0
running_max,headwise,1.0,0.0,5,1.0,1.0,1.0,1.0,1.0
running_max,stu,0.98574,0.00201,5,0.98535,0.9834,0.98438,0.98633,0.98926
selective_copy,attn,0.66912,0.0049,5,0.67495,0.66031,0.66828,0.67141,0.67064
selective_copy,mamba,0.01675,0.00061,5,0.01694,0.01746,0.01662,0.01566,0.01706
selective_copy,mamba2,0.05238,0.03514,5,0.03244,0.12196,0.04303,0.0365,0.028
selective_copy,alt_attn_mamba,0.6726,0.00216,5,0.6763,0.67157,0.66972,0.67312,0.6723
selective_copy,alt_attn_stu,0.67303,0.00199,5,0.67679,0.67189,0.67106,0.67312,0.6723
selective_copy,headwise,0.04213,0.00787,5,0.0376,0.05776,0.03678,0.03936,0.03915
selective_copy,stu,0.05692,0.00081,5,0.056,0.05717,0.05804,0.056,0.05741
selective_parity,attn,0.96969,0.01052,5,0.9893,0.9603,0.96295,0.9641,0.97178
selective_parity,mamba,0.09318,0.001,5,0.09407,0.09395,0.09351,0.0913,0.09306
selective_parity,mamba2,0.1235,0.00221,5,0.12232,0.12361,0.12697,0.12031,0.12431
selective_parity,alt_attn_mamba,0.99062,0.00642,5,0.98484,0.99333,0.98125,0.997,0.99667
selective_parity,alt_attn_stu,0.99968,0.00031,5,0.99992,0.99969,0.99993,0.99978,0.99909
selective_parity,headwise,0.15266,0.06005,5,0.11924,0.11365,0.27201,0.13402,0.12439
selective_parity,stu,0.14255,0.0009,5,0.14117,0.143,0.14191,0.14369,0.143
set_intersection_count,attn,0.68574,0.32112,5,0.33301,0.99805,0.99414,0.2666,0.83691
set_intersection_count,mamba,0.35313,0.11488,5,0.28027,0.53418,0.44336,0.25977,0.24805
set_intersection_count,mamba2,0.99551,0.00473,5,0.99902,0.99023,0.98926,1.0,0.99902
set_intersection_count,alt_attn_mamba,0.74453,0.26117,5,0.99023,0.99512,0.82715,0.30762,0.60254
set_intersection_count,alt_attn_stu,0.95566,0.0794,5,0.99414,0.99609,0.79688,0.99609,0.99512
set_intersection_count,headwise,0.11582,0.00439,5,0.11621,0.11719,0.10742,0.11816,0.12012
set_intersection_count,stu,0.27148,0.02476,5,0.23535,0.29004,0.25,0.28125,0.30078
short_associative,attn,0.24492,0.00919,5,0.24707,0.23145,0.25781,0.23828,0.25
short_associative,mamba,0.25117,0.01433,5,0.25391,0.24316,0.27246,0.25684,0.22949
short_associative,mamba2,0.24492,0.00416,5,0.24414,0.24316,0.25195,0.24609,0.23926
short_associative,alt_attn_mamba,0.35762,0.23013,5,0.22266,0.24512,0.81738,0.25391,0.24902
short_associative,alt_attn_stu,0.24863,0.01046,5,0.24023,0.2334,0.2627,0.25391,0.25293
short_associative,headwise,0.24297,0.00577,5,0.25195,0.24121,0.23828,0.24707,0.23633
short_associative,stu,0.23945,0.0075,5,0.23438,0.23047,0.24316,0.25195,0.2373
sort,attn,0.99988,5e-05,5,0.99989,0.99986,0.99979,0.99993,0.99991
sort,mamba,0.84547,0.00568,5,0.83815,0.84993,0.85039,0.8389,0.84999
sort,mamba2,0.98653,0.01136,5,0.99507,0.96685,0.98203,0.99899,0.98969
sort,alt_attn_mamba,0.99988,2e-05,5,0.99984,0.99991,0.99987,0.9999,0.9999
sort,alt_attn_stu,0.99987,5e-05,5,0.99987,0.9998,0.99992,0.99982,0.99993
sort,headwise,0.99931,0.00017,5,0.99929,0.9993,0.99947,0.99902,0.99948
sort,stu,0.84216,0.00085,5,0.84375,0.84198,0.8421,0.84177,0.84121
sort_top2,attn,0.66934,0.00924,5,0.67773,0.67188,0.66553,0.67822,0.65332
sort_top2,mamba,0.65693,0.00281,5,0.65869,0.65332,0.65869,0.66016,0.65381
sort_top2,mamba2,0.6667,0.00727,5,0.67578,0.66846,0.66406,0.6709,0.6543
sort_top2,alt_attn_mamba,0.66846,0.00729,5,0.67773,0.6709,0.6665,0.67139,0.65576
sort_top2,alt_attn_stu,0.66943,0.00937,5,0.68066,0.67041,0.66797,0.67529,0.65283
sort_top2,headwise,0.66885,0.00879,5,0.67969,0.66748,0.66992,0.67383,0.65332
sort_top2,stu,0.62656,0.00778,5,0.62061,0.62061,0.6377,0.63428,0.61963
state_retrieve,attn,0.98691,0.00496,5,0.98535,0.98242,0.98145,0.99414,0.99121
state_retrieve,mamba,0.65605,0.0128,5,0.64355,0.66602,0.6416,0.6748,0.6543
state_retrieve,mamba2,0.83516,0.06228,5,0.74316,0.93262,0.8457,0.85156,0.80273
state_retrieve,alt_attn_mamba,0.99941,0.00078,5,1.0,0.99805,1.0,0.99902,1.0
state_retrieve,alt_attn_stu,0.99805,0.00138,5,0.99609,0.99707,1.0,0.99805,0.99902
state_retrieve,headwise,0.98555,0.01536,5,0.95605,0.98535,0.99707,0.99219,0.99707
state_retrieve,stu,0.66328,0.011,5,0.65332,0.66992,0.65332,0.68164,0.6582
state_tracking,attn,0.75859,0.04483,5,0.68945,0.73828,0.75293,0.79395,0.81836
state_tracking,mamba,0.9625,0.00879,5,0.9541,0.95703,0.95508,0.97461,0.97168
state_tracking,mamba2,0.98438,0.0091,5,0.9668,0.99121,0.98926,0.99023,0.98438
state_tracking,alt_attn_mamba,0.88203,0.01647,5,0.87793,0.85156,0.89258,0.8916,0.89648
state_tracking,alt_attn_stu,0.96934,0.00706,5,0.96973,0.95996,0.96289,0.97754,0.97656
state_tracking,headwise,0.91016,0.01093,5,0.92188,0.89062,0.91797,0.90723,0.91309
state_tracking,stu,0.32871,0.01109,5,0.31934,0.33496,0.33398,0.34277,0.3125
substring_locate,attn,0.25273,0.05557,5,0.34668,0.2041,0.28613,0.20898,0.21777
substring_locate,mamba,0.12051,0.0147,5,0.11621,0.11035,0.10547,0.14746,0.12305
substring_locate,mamba2,0.12461,0.01291,5,0.11621,0.12695,0.10938,0.14746,0.12305
substring_locate,alt_attn_mamba,0.25,0.04961,5,0.27734,0.24219,0.20801,0.19238,0.33008
substring_locate,alt_attn_stu,0.34531,0.03131,5,0.36426,0.32617,0.29297,0.36621,0.37695
substring_locate,headwise,0.12207,0.0084,5,0.11621,0.13184,0.10938,0.12988,0.12305
substring_locate,stu,0.1377,0.01677,5,0.15039,0.12207,0.11328,0.14746,0.15527
temporal_ordering,attn,0.66621,0.02891,5,0.66797,0.64551,0.64648,0.72168,0.64941
temporal_ordering,mamba,0.56035,0.01722,5,0.55566,0.54883,0.56543,0.59082,0.54102
temporal_ordering,mamba2,0.5498,0.03187,5,0.50391,0.58594,0.53418,0.58594,0.53906
temporal_ordering,alt_attn_mamba,0.60977,0.04259,5,0.55664,0.58984,0.65918,0.58203,0.66113
temporal_ordering,alt_attn_stu,0.69824,0.05223,5,0.66113,0.6377,0.69238,0.79004,0.70996
temporal_ordering,headwise,0.51992,0.02705,5,0.50391,0.49902,0.49219,0.54492,0.55957
temporal_ordering,stu,0.51934,0.00971,5,0.50391,0.53027,0.51367,0.52051,0.52832
three_hop,attn,0.27266,0.00597,5,0.27148,0.26465,0.27148,0.27246,0.2832
three_hop,mamba,0.29824,0.01692,5,0.31543,0.30078,0.2666,0.29883,0.30957
three_hop,mamba2,0.33262,0.01033,5,0.33984,0.32812,0.34668,0.31641,0.33203
three_hop,alt_attn_mamba,0.29688,0.00929,5,0.31152,0.29688,0.28809,0.28613,0.30176
three_hop,alt_attn_stu,0.27461,0.00906,5,0.26758,0.2666,0.26758,0.28418,0.28711
three_hop,headwise,0.26895,0.0065,5,0.26855,0.26367,0.26172,0.27051,0.28027
three_hop,stu,0.08223,0.00933,5,0.09766,0.08398,0.08398,0.07031,0.0752
threshold,attn,1.0,0.0,5,1.0,1.0,1.0,1.0,1.0
threshold,mamba,1.0,0.0,5,1.0,1.0,1.0,1.0,1.0
threshold,mamba2,1.0,0.0,5,1.0,1.0,1.0,1.0,1.0
threshold,alt_attn_mamba,1.0,0.0,5,1.0,1.0,1.0,1.0,1.0
threshold,alt_attn_stu,1.0,0.0,5,1.0,1.0,1.0,1.0,1.0
threshold,headwise,1.0,0.0,5,1.0,1.0,1.0,1.0,1.0
threshold,stu,1.0,0.0,5,1.0,1.0,1.0,1.0,1.0
token_transition,attn,0.92324,0.00853,5,0.91406,0.93555,0.91309,0.92676,0.92676
token_transition,mamba,0.59902,0.01409,5,0.58594,0.59863,0.58203,0.6084,0.62012
token_transition,mamba2,0.62148,0.03812,5,0.58594,0.59863,0.69434,0.6084,0.62012
token_transition,alt_attn_mamba,0.98301,0.00496,5,0.98535,0.97363,0.98242,0.9873,0.98633
token_transition,alt_attn_stu,0.9748,0.00944,5,0.96973,0.9707,0.96387,0.97852,0.99121
token_transition,headwise,0.79375,0.03695,5,0.72754,0.81738,0.7793,0.82715,0.81738
token_transition,stu,0.59902,0.01409,5,0.58594,0.59863,0.58203,0.6084,0.62012
triple_recall,attn,0.15417,0.00269,5,0.15169,0.15202,0.15365,0.1543,0.15918
triple_recall,mamba,0.14935,0.00536,5,0.13997,0.1543,0.15234,0.15332,0.14681
triple_recall,mamba2,0.15,0.00628,5,0.14648,0.15072,0.15723,0.1556,0.13997
triple_recall,alt_attn_mamba,0.15339,0.00221,5,0.1543,0.14941,0.15495,0.1556,0.15267
triple_recall,alt_attn_stu,0.15026,0.0042,5,0.15137,0.15495,0.14583,0.1543,0.14486
triple_recall,headwise,0.14694,0.00546,5,0.13704,0.15332,0.14974,0.14616,0.14844
triple_recall,stu,0.14798,0.00299,5,0.14551,0.15332,0.14844,0.14779,0.14486
two_hop,attn,0.23262,0.01689,5,0.2334,0.24707,0.2168,0.25488,0.21094
two_hop,mamba,0.2416,0.01521,5,0.23047,0.25195,0.23145,0.2666,0.22754
two_hop,mamba2,0.25234,0.01658,5,0.24023,0.26074,0.23828,0.28125,0.24121
two_hop,alt_attn_mamba,0.23594,0.0182,5,0.24023,0.24023,0.20801,0.26367,0.22754
two_hop,alt_attn_stu,0.23281,0.01553,5,0.2373,0.23828,0.21484,0.25684,0.2168
two_hop,headwise,0.23887,0.0175,5,0.23047,0.24805,0.21973,0.26855,0.22754
two_hop,stu,0.24219,0.01895,5,0.24121,0.24609,0.2168,0.27441,0.23242
union_lookup,attn,0.13398,0.00515,5,0.125,0.13867,0.13574,0.13184,0.13867
union_lookup,mamba,0.13027,0.00727,5,0.12402,0.13281,0.14258,0.12207,0.12988
union_lookup,mamba2,0.12695,0.00524,5,0.12402,0.13281,0.12207,0.12207,0.13379
union_lookup,alt_attn_mamba,0.13359,0.00468,5,0.13184,0.13281,0.14258,0.13184,0.12891
union_lookup,alt_attn_stu,0.1334,0.00408,5,0.13086,0.13477,0.13574,0.13867,0.12695
union_lookup,headwise,0.0791,0.01151,5,0.08789,0.08008,0.09473,0.06934,0.06348
union_lookup,stu,0.10723,0.01177,5,0.10254,0.09082,0.12695,0.10547,0.11035
variable_lookup,attn,0.21654,0.00933,5,0.20801,0.22298,0.22884,0.20378,0.21908
variable_lookup,mamba,0.21094,0.00416,5,0.20898,0.20736,0.21908,0.20931,0.20996
variable_lookup,mamba2,0.21621,0.00481,5,0.20801,0.22103,0.2207,0.21419,0.21712
variable_lookup,alt_attn_mamba,0.68249,0.37549,5,0.99837,1.0,0.22624,0.96842,0.2194
variable_lookup,alt_attn_stu,0.2166,0.00951,5,0.20931,0.21908,0.23145,0.20378,0.2194
variable_lookup,headwise,0.21608,0.00639,5,0.20703,0.22266,0.22331,0.21094,0.21647
variable_lookup,stu,0.17168,0.00679,5,0.17741,0.18132,0.16243,0.16797,0.16927
video_cell_mode,attn,0.9125,0.00903,5,0.92773,0.89941,0.91113,0.91309,0.91113
video_cell_mode,mamba,0.3623,0.06619,5,0.23535,0.39258,0.37598,0.37891,0.42871
video_cell_mode,mamba2,0.77129,0.19042,5,0.71875,0.8916,0.43262,0.82715,0.98633
video_cell_mode,alt_attn_mamba,0.99824,0.00168,5,0.99902,0.99902,1.0,0.99805,0.99512
video_cell_mode,alt_attn_stu,0.93145,0.0426,5,0.90723,0.95703,0.86035,0.95312,0.97949
video_cell_mode,headwise,0.24707,0.01255,5,0.2373,0.26465,0.23438,0.23926,0.25977
video_cell_mode,stu,0.21016,0.01018,5,0.19922,0.22461,0.20605,0.21973,0.20117
video_frame_retrieval,attn,0.51211,0.06374,5,0.44141,0.46191,0.50586,0.62402,0.52734
video_frame_retrieval,mamba,0.01738,0.00329,5,0.02148,0.01367,0.02051,0.01758,0.01367
video_frame_retrieval,mamba2,0.05898,0.01532,5,0.04883,0.05176,0.04785,0.08887,0.05762
video_frame_retrieval,alt_attn_mamba,1.0,0.0,5,1.0,1.0,1.0,1.0,1.0
video_frame_retrieval,alt_attn_stu,0.99141,0.01719,5,1.0,0.95703,1.0,1.0,1.0
video_frame_retrieval,headwise,0.04082,0.00872,5,0.04297,0.05664,0.03418,0.03223,0.03809
video_frame_retrieval,stu,0.08828,0.00568,5,0.09473,0.08594,0.0791,0.09375,0.08789
